"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"324","213918568751224","Bruce Rauner","Click ""LIKE"" if you think it is time for a governor who will take on the status quo and bring back Illinois! http://southtownstar.suntimes.com/opinions/guestcommentary/22465846-474/reeder-no-longer-an-outsider-quinn-defends-status-quo.html","2013-09-10T14:24:27+0000","link","http://southtownstar.suntimes.com/opinions/guestcommentary/22465846-474/reeder-no-longer-an-outsider-quinn-defends-status-quo.html","213918568751224_300640526745694",123,10,0
"325","213918568751224","Bruce Rauner",NA,"2013-09-09T21:39:35+0000","photo","https://www.facebook.com/BruceRauner/photos/a.300426940100386.1073741833.213918568751224/300426963433717/?type=1&relevant_count=41","213918568751224_300428406766906",152,13,11
"326","213918568751224","Bruce Rauner","Another editorial supporting term limits. Seems to mostly just be the career politicians who oppose it. No surprise there! http://bit.ly/19Bi4Uz","2013-09-09T18:44:03+0000","link","http://bit.ly/19Bi4Uz","213918568751224_300381906771556",259,45,27
"327","213918568751224","Bruce Rauner","Please check out this editorial from the Champaign News-Gazette and click LIKE if you agree with it! 

http://www.news-gazette.com/opinion/editorials/2013-09-08/amendments-problem-pols.html","2013-09-09T13:14:15+0000","link","http://www.news-gazette.com/opinion/editorials/2013-09-08/amendments-problem-pols.html","213918568751224_300279433448470",56,3,0
"328","213918568751224","Bruce Rauner","Heading to Gibson City for Ford County Candidate Forum.","2013-09-07T11:47:39+0000","status",NA,"213918568751224_299441566865590",80,10,0
"329","213918568751224","Bruce Rauner",NA,"2013-09-04T20:35:19+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/298298526979894/?type=1&relevant_count=1","213918568751224_298298536979893",166,12,16
"330","213918568751224","Bruce Rauner","Put together a video on the need for term limits. Check it out! http://bit.ly/1fwUg5R","2013-09-03T18:39:56+0000","link","http://bit.ly/1fwUg5R","213918568751224_297877487021998",102,21,16
"331","213918568751224","Bruce Rauner","Excited to kickoff effort to bring term limits to Illinois. Show your support by ""LIKING"" this post and learn more here: http://us7.campaign-archive2.com/?u=748ec93f05d491002c2e442a4&id=5b447ea244&e=ee0787887e","2013-09-03T13:55:59+0000","link","http://us7.campaign-archive2.com/?u=748ec93f05d491002c2e442a4&id=5b447ea244&e=ee0787887e","213918568751224_297799947029752",480,17,40
"332","213918568751224","Bruce Rauner","Wrapped up a great day by attending North Shore Greek Fest","2013-09-02T01:09:07+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/297288863747527/?type=1&relevant_count=1","213918568751224_297288873747526",163,10,0
"333","213918568751224","Bruce Rauner","Terrific opening for dove season today - all had limits within an hour.","2013-09-01T22:31:37+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/297230177086729/?type=1&relevant_count=1","213918568751224_297230223753391",363,72,17
"334","213918568751224","Bruce Rauner","Great weekend to be out riding on the Harley. It's the 110th anniversary of Harley-Davidson.","2013-09-01T18:29:01+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/297164233759990/?type=1&relevant_count=1","213918568751224_297164240426656",323,16,17
"335","213918568751224","Bruce Rauner","I was asked recently about the pending pension proposals. My response: http://bit.ly/16THHjg","2013-08-29T16:28:53+0000","video","http://bit.ly/16THHjg","213918568751224_295907763885637",54,11,14
"336","213918568751224","Bruce Rauner","We must get new leadership in the governor's office! 

""The Quinn administration set a dubious record in the most recent fiscal year.

According to the state’s main purchasing oversight board, officials approved more than $135 million in no-bid emergency purchases during the fiscal year that ended June 30.

The figure is more than $34 million higher than the previous fiscal year and a whopping 300 percent higher than what was seen during the final year of former Gov. Rod Blagojevich’s tenure.""

http://www.pantagraph.com/news/state-and-regional/illinois/government-and-politics/state-accused-of-mismanaging-no-bid-purchases/article_77550374-102b-11e3-b370-0019bb2963f4.html","2013-08-29T13:18:47+0000","link","http://www.pantagraph.com/news/state-and-regional/illinois/government-and-politics/state-accused-of-mismanaging-no-bid-purchases/article_77550374-102b-11e3-b370-0019bb2963f4.html","213918568751224_295840950558985",205,38,22
"337","213918568751224","Bruce Rauner","Had a great time at Du Quoin State Fair yesterday. Read more about it here: http://thesouthern.com/news/local/republican-candidates-campaign-at-fair/article_cba4600e-0f9b-11e3-80f8-0019bb2963f4.html","2013-08-28T12:53:16+0000","link","http://thesouthern.com/news/local/republican-candidates-campaign-at-fair/article_cba4600e-0f9b-11e3-80f8-0019bb2963f4.html","213918568751224_295462887263458",80,10,1
"338","213918568751224","Bruce Rauner","Great to sit down with Brian Byers for a radio interview at the Farm Progress Show this morning.","2013-08-27T14:37:01+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/295069503969463/?type=1&relevant_count=1","213918568751224_295069513969462",96,5,0
"339","213918568751224","Bruce Rauner","Heading down to the Farm Progress Show and then the Du Quoin State Fair for Republican Day. Spending most of tomorrow in and around Carbondale - looking forward to it.","2013-08-27T13:18:08+0000","status",NA,"213918568751224_295046403971773",160,17,0
"340","213918568751224","Bruce Rauner","First time I felt short on the campaign. Great to meet with Bill Cartwright at his restaurant in Highwood.","2013-08-26T23:10:55+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/294848890658191/?type=1&relevant_count=1","213918568751224_294848910658189",320,10,0
"341","213918568751224","Bruce Rauner","Must read: ""Red Flags in Pension Draft"" http://trib.in/15cAt5O  Click LIKE if you believe taxpayers deserve a better deal.","2013-08-26T14:38:57+0000","link","http://trib.in/15cAt5O","213918568751224_294709077338839",48,9,15
"342","213918568751224","Bruce Rauner","Great talk with crowd at Dundee Township GOP Picnic.  Everyone has passion for term limits & taking on government union bosses","2013-08-25T18:44:40+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/294403304036083/?type=1&relevant_count=1","213918568751224_294403310702749",208,27,12
"343","213918568751224","Bruce Rauner","Next stop: Nunda Township. Today is a perfect day for campaigning and meeting voters.","2013-08-24T17:39:05+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/294008397408907/?type=1&relevant_count=1","213918568751224_294008420742238",106,10,0
"344","213918568751224","Bruce Rauner","Big crowd at Northfield Township GOP meeting this morning. Folks are fired up to Bring Back Illinois.","2013-08-24T14:20:27+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/293942527415494/?type=1&relevant_count=1","213918568751224_293942540748826",367,37,19
"345","213918568751224","Bruce Rauner","Click ""Like"" if you support term limits to help clean up Springfield and get rid of the career politicians like Madigan and Cullerton: http://www.chicagotribune.com/news/local/ct-met-bruce-rauner-pac-0821-20130821,0,3874533.story","2013-08-21T13:28:47+0000","link","http://www.chicagotribune.com/news/local/ct-met-bruce-rauner-pac-0821-20130821,0,3874533.story","213918568751224_292855110857569",604,67,48
"346","213918568751224","Bruce Rauner","A volunteer put together a short highlight video of my speech at the State Fair. Please take a look and ""LIKE"" it to help spread the word: http://bit.ly/18Igy2L","2013-08-20T20:00:10+0000","video","http://bit.ly/18Igy2L","213918568751224_292630560880024",113,6,16
"347","213918568751224","Bruce Rauner",NA,"2013-08-16T22:53:17+0000","photo","https://www.facebook.com/BruceRauner/photos/a.291232764353137.1073741832.213918568751224/291232791019801/?type=1&relevant_count=24","213918568751224_291234261019654",138,14,12
"348","213918568751224","Bruce Rauner","Had a great time at the state fair yesterday. Check out some of the news coverage here: http://www.youtube.com/watch?v=y7GpjQpL5Vg&feature=youtu.be","2013-08-16T16:02:45+0000","video","http://www.youtube.com/watch?v=y7GpjQpL5Vg&feature=youtu.be","213918568751224_291138081029272",73,5,0
"349","213918568751224","Bruce Rauner","Loved driving to Republican Day at the State Fair on my Harley. Folks are eager to shake up Springfield and bring back Illinois!","2013-08-16T00:53:58+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/290821694394244/?type=1&relevant_count=1","213918568751224_290821704394243",505,32,35
"350","213918568751224","Bruce Rauner","Click ""LIKE"" if you are fed up with the financial crisis in Illinois. http://econ.st/16CUaZ4","2013-08-13T16:23:45+0000","link","http://econ.st/16CUaZ4","213918568751224_289920551151025",347,22,30
"351","213918568751224","Bruce Rauner","I’m going to be at the State Fair on Thursday, August 15 for Republican Day and would love for you to meet me there. I’ll be sponsoring the lunch ahead of the Republican Rally so it should also be a great opportunity to meet fellow Republicans who care about the future of our state. Click the link to RSVP: http://gopday.eventbrite.com/","2013-08-12T18:09:01+0000","link","http://gopday.eventbrite.com/","213918568751224_289543467855400",70,1,0
"352","213918568751224","Bruce Rauner","Meeting lots of supporters at Chris Lauzen's Pork Picnic!","2013-08-10T22:29:27+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/288425614633852/?type=1&relevant_count=1","213918568751224_288425627967184",150,7,0
